review_id,location_id,rating,review_text,reviewer_name,review_date,language,has_reply,reply_text
cd9ecf65-aca3-49ec-9ab4-df5fd4d3bb92,b17098f7-b6cf-4530-8699-0166dddd5fe5,3,Normal experience. Prices are reasonable.,Rekha D,2024-06-28,en,False,
f98e6f7d-cb2e-4038-b44c-16fb833dfc7c,441f5724-2418-4655-ba29-d09d1a34c32b,4,Affordable prices and quality care. The reception staff is also very polite.,Sanjay P,2024-12-01,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
3350a290-4ad3-4996-86ab-14d2ac44c3ef,976ea37d-8af8-4210-8b47-fc09b6a346ff,3,Normal experience. Prices are reasonable.,Lakshmi V,2025-01-04,hi,False,
9cd24edd-9ce5-490d-9ecc-5ae7e53ed4d0,bae89f03-99cc-4047-9ceb-2c85bf045ce1,1,Saw dust and dirt in the examination room. Concerning for a medical facility.,Kiran J,2024-09-03,en,True,We sincerely apologize for your experience. We take your feedback seriously and will address these concerns. Please contact us directly so we can make things right.
805bdaa4-47bd-496b-afec-e9d0fce87b10,34b60802-ad5c-4b43-be62-077f1101aea4,3,Decent clinic. Average wait time but service was okay.,Kiran J,2024-09-19,en,False,
49956e20-efed-48de-8076-f35203e10a0f,ff25e902-2f69-48ff-aafc-d181e0452b87,5,Clean facility and minimal wait time. Very satisfied.,Kiran J,2024-12-05,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
5f81aaa8-4fc1-4b6b-bb25-7c91b98147cf,4024d02c-5c28-43a6-b6ee-8e4c312e8224,3,Okay visit. Could improve on waiting area comfort.,Shweta M,2024-09-28,en,True,Thank you for your feedback. We're constantly working to improve our services.
18c31807-afac-4dc0-906e-4518079d04f2,ee0b8a22-03cf-4954-85dd-ef9608d53a07,5,The doctors here are very knowledgeable. Great experience overall.,Deepa V,2024-08-11,en,False,
8e5317c3-93be-4e2a-9bf0-70e72c215c67,5b4b6950-6824-492e-8244-6bd6971d0b95,3,Normal experience. Prices are reasonable.,Suresh B,2024-06-08,en,True,Thank you for your feedback. We're constantly working to improve our services.
54907d35-5a75-4302-88bd-4228384f4013,16221448-4597-49e7-8f57-d03e1669f805,4,Very hygienic place with modern equipment. Doctors explain everything clearly.,Vivek R,2024-08-11,en,False,
907cd9db-de78-4cc1-bbc3-06e6b1b2ba81,ff25e902-2f69-48ff-aafc-d181e0452b87,4,Best clinic in the area. Staff is very helpful and caring.,Sunita K,2024-06-22,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
4f25fd06-2a89-45ea-8f47-e1f649f2fb48,1302182e-13c4-4fdd-be4f-8d17a5fe4a04,2,Appointment got cancelled last minute without notice. Unprofessional.,Amit K,2024-09-23,en,True,We sincerely apologize for your experience. We take your feedback seriously and will address these concerns. Please contact us directly so we can make things right.
3db95df3-571c-4dc2-8c37-81836e78f43a,441f5724-2418-4655-ba29-d09d1a34c32b,5,Friendly staff and competent doctors. No complaints at all.,Ashok M,2024-09-03,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
b6c67ab9-13b5-487c-9f5b-1ad914dcc11c,34b60802-ad5c-4b43-be62-077f1101aea4,1,The waiting area was unclean. Needs better maintenance.,Sneha R,2024-08-18,en,True,We sincerely apologize for your experience. We take your feedback seriously and will address these concerns. Please contact us directly so we can make things right.
4e7fc7ac-0414-4241-93d6-56f67c3e7680,b17098f7-b6cf-4530-8699-0166dddd5fe5,4,Clean facility and minimal wait time. Very satisfied.,Divya R,2024-07-20,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
65f4831e-cbcb-4ce3-afa3-4c09bc4f0298,4024d02c-5c28-43a6-b6ee-8e4c312e8224,4,Friendly staff and competent doctors. No complaints at all.,Gaurav H,2024-08-12,en,False,
4f2fdd9a-0c40-4d55-be96-e976e535eba1,16221448-4597-49e7-8f57-d03e1669f805,4,Excellent service and very professional staff. Highly recommended!,Arun G,2024-11-29,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
c91cc775-2f4a-42b0-9883-78d4fa434a93,76fb61ba-b9e4-4c15-9115-505453cec359,5,Clean facility and minimal wait time. Very satisfied.,Divya R,2024-11-11,en,False,
1e7b6cea-2836-4af8-a852-d84ea5999201,69570c06-47a2-4e00-8735-2b7dba3156be,5,Had a great experience. The doctor was patient and thorough.,Priya M,2024-09-21,en,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
6282e280-b4d7-4cd3-aed1-af6a69161970,77db6679-766f-48c1-bd35-091cb42a5e6c,3,Decent clinic. Average wait time but service was okay.,Sanjay P,2024-09-11,hi,True,Thank you for your feedback. We're constantly working to improve our services.
69054702-ca4f-447f-b30f-9b0ab498ab50,ee0b8a22-03cf-4954-85dd-ef9608d53a07,5,साफ-सुथरा और professional clinic। recommend करता हूं।,Deepa V,2024-08-17,hi,True,Thank you for your kind words! We're glad you had a positive experience. Looking forward to serving you again.
